cfm_loss,epoch,fid,fid_lenet,is_mean,is_std,kid_mean,kid_std,seconds
0.33907410502433777,0,,,,,,,144.72303771972656
0.19790174067020416,1,,,,,,,143.45509338378906
0.18007892370224,2,,,,,,,141.97337341308594
0.17136836051940918,3,,,,,,,141.94166564941406
0.16563527286052704,4,,,,,,,140.86129760742188
0.16071949899196625,5,,,,,,,142.1699981689453
0.15807564556598663,6,,,,,,,142.28494262695312
0.15567265450954437,7,,,,,,,144.72994995117188
0.1530567705631256,8,,,,,,,145.16763305664062
0.1500285416841507,9,63.606788635253906,32.20058822631836,1.9556835889816284,0.033413659781217575,0.07263297587633133,0.0025351429358124733,146.0432586669922
0.14863282442092896,10,,,,,,,144.3114013671875
0.1474943906068802,11,,,,,,,143.312255859375
0.14648284018039703,12,,,,,,,142.33251953125
0.14554305374622345,13,,,,,,,141.3219757080078
0.14454291760921478,14,,,,,,,141.54800415039062
0.14457471668720245,15,,,,,,,141.339599609375
0.1435559093952179,16,,,,,,,142.5355987548828
0.1427830010652542,17,,,,,,,142.56939697265625
0.14138208329677582,18,,,,,,,143.6766815185547
0.1411508172750473,19,14.86439323425293,16.248146057128906,1.8868684768676758,0.021387852728366852,0.012587809935212135,0.0009974702261388302,145.24020385742188
0.14078129827976227,20,,,,,,,150.2074432373047
0.13957321643829346,21,,,,,,,148.1696319580078
0.139892578125,22,,,,,,,150.3589630126953
0.13903070986270905,23,,,,,,,150.6468963623047
0.13868826627731323,24,,,,,,,147.57252502441406
0.13825160264968872,25,,,,,,,121.56512451171875
0.1381557583808899,26,,,,,,,120.11897277832031
0.13733786344528198,27,,,,,,,120.07535552978516
0.13700367510318756,28,,,,,,,120.81958770751953
0.13665154576301575,29,10.883091926574707,12.75545597076416,1.9089394807815552,0.019049758091568947,0.008880697190761566,0.0007811471587046981,87.3330078125
